,DeID,Transfer Status,Final.exam.percentage..out.of.100.or.between.0.and.1.,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
85,5XCURLDS,False,94.58,"Alvarado, Christine J.             ",Y,Y,A- 
86,5Z87GMPE,False,95.83,"Alvarado, Christine J.             ",Y,Y,A  
87,63BU2T1Z,False,96.25,"Alvarado, Christine J.             ",Y,Y,A  
88,63VGE34R,False,94.33,"Alvarado, Christine J.             ",Y,Y,A  
89,64SF3V4T,False,83.5,"Lerner, Sorin                      ",Y,Y,A  
90,65JLYPR7,False,64.08,"Alvarado, Christine J.             ",Y,Y,B  
91,668J389O,False,62.0,"Lerner, Sorin                      ",Y,Y,C- 
92,69U9087F,False,69.08,"Alvarado, Christine J.             ",Y,Y,B- 
93,6AN2NYEW,False,94.58,"Lerner, Sorin                      ",Y,Y,A  
94,6J7JKHYR,False,91.67,"Lerner, Sorin                      ",Y,Y,A  
95,6LZAC2JA,False,86.83,"Lerner, Sorin                      ",Y,Y,A  
96,6POBGC6F,False,81.67,"Alvarado, Christine J.             ",Y,Y,A- 
97,6QDAE16C,False,90.75,"Alvarado, Christine J.             ",Y,Y,A  
99,6SCSR8QI,False,86.67,"Alvarado, Christine J.             ",Y,Y,B+ 
100,6VGU8STT,False,97.92,"Alvarado, Christine J.             ",Y,Y,A  
101,6YW3QBWU,False,82.67,"Lerner, Sorin                      ",Y,Y,A- 
102,7105EJ1T,False,95.42,"Lerner, Sorin                      ",Y,Y,A+ 
103,72GB717K,False,77.42,"Alvarado, Christine J.             ",Y,Y,A- 
104,73BD8V5W,False,0.0,"Lerner, Sorin                      ",Y,Y,NP 
106,78H841QG,False,80.17,"Lerner, Sorin                      ",Y,Y,A- 
107,7FAO13VF,False,90.16999999999999,"Alvarado, Christine J.             ",Y,Y,A  
108,7KIWIMK3,False,90.58,"Lerner, Sorin                      ",Y,Y,A  
109,7OCUS5CI,False,84.0,"Alvarado, Christine J.             ",Y,Y,B- 
110,7Q7MQ3N3,False,92.33,"Lerner, Sorin                      ",Y,Y,A  
111,7ROMJT0U,False,97.25,"Alvarado, Christine J.             ",Y,Y,A+ 
112,7TNYSJV0,False,82.83,"Lerner, Sorin                      ",Y,Y,A- 
114,7ZDR3PCO,False,92.25,"Alvarado, Christine J.             ",Y,Y,A- 
115,806STYZK,False,85.42,"Lerner, Sorin                      ",Y,Y,A  
116,8BPKB7M4,False,37.0,"Lerner, Sorin                      ",Y,Y,F  
118,8JWV4GC6,False,81.42,"Lerner, Sorin                      ",Y,Y,A  
120,8WIYQTIR,False,48.67,"Lerner, Sorin                      ",Y,Y,C+ 
121,9FER7O5R,False,79.67,"Lerner, Sorin                      ",Y,Y,B+ 
122,9HBNNXT8,False,95.58,"Alvarado, Christine J.             ",Y,Y,A+ 
124,9IQJUAA6,False,91.25,"Alvarado, Christine J.             ",Y,Y,A  
125,9ISC9QSQ,False,96.25,"Alvarado, Christine J.             ",Y,Y,A+ 
126,9K73MBAY,False,81.0,"Lerner, Sorin                      ",Y,Y,A  
127,9L8BH6X1,False,92.25,"Alvarado, Christine J.             ",Y,Y,A  
129,9ONOJ0H6,False,41.58,"Alvarado, Christine J.             ",Y,Y,F  
130,9R9A8KB7,False,94.75,"Alvarado, Christine J.             ",Y,Y,A+ 
131,9V14RFLW,False,92.25,"Alvarado, Christine J.             ",Y,Y,A  
132,9VME0ZWK,False,75.58,"Alvarado, Christine J.             ",Y,Y,B- 
