,DeID,Transfer Status,Final.exam.percentage..out.of.100.or.between.0.and.1.,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
373,QKKEGR2D,False,99.58,"Lerner, Sorin                      ",Y,Y,A+ 
374,QRBSV3FX,False,25.5,"Alvarado, Christine J.             ",Y,Y,F  
375,QS8OFEVB,False,79.08,"Lerner, Sorin                      ",Y,Y,B  
376,QTHEP0B6,False,90.33,"Lerner, Sorin                      ",Y,Y,A  
377,QTMIZ2YK,False,45.67,"Lerner, Sorin                      ",Y,Y,F  
378,QUYJ46VQ,False,77.25,"Lerner, Sorin                      ",Y,Y,A- 
379,QV1UMQ4S,False,83.83,"Lerner, Sorin                      ",Y,Y,A- 
381,QX8GBG30,False,62.33,"Lerner, Sorin                      ",Y,Y,C+ 
385,R3XRCRNI,False,58.25,"Lerner, Sorin                      ",Y,Y,C+ 
386,R6269XF8,False,96.67,"Alvarado, Christine J.             ",Y,Y,A  
387,R7SVGVDT,False,67.0,"Lerner, Sorin                      ",Y,Y,B  
388,R9DLP03N,False,77.25,"Lerner, Sorin                      ",Y,Y,B+ 
389,RAIAK65W,False,81.17,"Alvarado, Christine J.             ",Y,Y,A- 
390,RFEZET82,False,92.67,"Lerner, Sorin                      ",Y,Y,A  
391,RJJCD1N3,False,86.83,"Alvarado, Christine J.             ",Y,Y,A  
392,RLG9E2ZV,False,97.5,"Lerner, Sorin                      ",Y,Y,A+ 
393,RMRJCO49,False,56.92,"Lerner, Sorin                      ",Y,Y,C  
394,RNWRAIYU,False,90.0,"Lerner, Sorin                      ",Y,Y,A  
395,ROADWW4Z,False,98.25,"Alvarado, Christine J.             ",Y,Y,A+ 
396,RP8U02PI,False,72.25,"Lerner, Sorin                      ",Y,Y,B+ 
397,RQOXRHO3,False,85.42,"Lerner, Sorin                      ",Y,Y,A  
398,RQU3W53Q,False,93.33,"Alvarado, Christine J.             ",Y,Y,A  
399,RSXIMS8L,False,72.83,"Alvarado, Christine J.             ",Y,Y,C  
401,RW3DERRC,False,63.67,"Lerner, Sorin                      ",Y,Y,B  
402,RWYCXIXB,False,97.08,"Alvarado, Christine J.             ",Y,Y,A+ 
403,S77LVX9W,False,74.5,"Alvarado, Christine J.             ",Y,Y,B+ 
404,S8AQ1E0W,False,76.5,"Lerner, Sorin                      ",Y,Y,B+ 
405,S9PCRZCY,False,76.42,"Alvarado, Christine J.             ",Y,Y,A- 
406,SD3WLRSB,False,80.0,"Lerner, Sorin                      ",Y,Y,A- 
407,SERRF52V,False,86.58,"Lerner, Sorin                      ",Y,Y,A- 
408,SHZEH9DZ,False,96.67,"Lerner, Sorin                      ",Y,Y,A+ 
409,SK2OYHEO,False,97.5,"Alvarado, Christine J.             ",Y,Y,A+ 
410,SNWLT08W,False,99.17,"Alvarado, Christine J.             ",Y,Y,A+ 
411,SOHR6ITT,False,42.75,"Lerner, Sorin                      ",Y,Y,F  
412,SQDFVKSL,False,76.17,"Lerner, Sorin                      ",Y,Y,A- 
413,SSV3612M,False,48.67,"Lerner, Sorin                      ",Y,Y,D  
414,ST4WA3DA,False,98.33,"Alvarado, Christine J.             ",Y,Y,A+ 
415,SWMJL3GI,False,49.919999999999995,"Lerner, Sorin                      ",Y,Y,C  
416,T0HH089U,False,91.83,"Lerner, Sorin                      ",Y,Y,A  
418,T31RR9FE,False,70.75,"Lerner, Sorin                      ",Y,Y,B- 
419,T38BOXVJ,False,87.67,"Lerner, Sorin                      ",Y,Y,A  
421,T4VUTUQF,False,80.75,"Lerner, Sorin                      ",Y,Y,A- 
422,T527R78N,False,97.25,"Lerner, Sorin                      ",Y,Y,A  
423,T9NH0TQ9,False,72.83,"Lerner, Sorin                      ",Y,Y,B+ 
425,TB89HD43,False,88.08,"Alvarado, Christine J.             ",Y,Y,A  
426,TCLB82FF,False,75.75,"Alvarado, Christine J.             ",Y,Y,C  
427,TDA1QQPZ,False,86.17,"Alvarado, Christine J.             ",Y,Y,A- 
428,TIODLL4L,False,67.0,"Lerner, Sorin                      ",Y,Y,B  
429,TK1F70UM,False,92.5,"Lerner, Sorin                      ",Y,Y,B+ 
430,TLI98M8L,False,36.5,"Alvarado, Christine J.             ",Y,Y,NP 
431,TMT7GS7I,False,62.419999999999995,"Lerner, Sorin                      ",Y,Y,B  
432,TN5HUQXA,False,77.66999999999999,"Alvarado, Christine J.             ",Y,Y,A- 
433,TOL2C8IW,False,94.75,"Alvarado, Christine J.             ",Y,Y,A  
434,TU32JQ00,False,85.25,"Lerner, Sorin                      ",Y,Y,A- 
436,TYKOSK3G,False,98.33,"Lerner, Sorin                      ",Y,Y,A+ 
437,TYROY0V2,False,74.5,"Lerner, Sorin                      ",Y,Y,B  
438,U44P0KES,False,94.33,"Alvarado, Christine J.             ",Y,Y,A  
439,U4I688QV,False,97.67,"Alvarado, Christine J.             ",Y,Y,A+ 
440,U5T1NG6U,False,90.58,"Alvarado, Christine J.             ",Y,Y,A  
441,UDYR522Z,False,30.669999999999998,"Alvarado, Christine J.             ",Y,Y,F  
442,UH5C5WY6,False,89.33,"Alvarado, Christine J.             ",Y,Y,A  
443,UI51SANE,False,84.75,"Alvarado, Christine J.             ",Y,Y,A  
446,UIXGQJ1S,False,98.0,"Alvarado, Christine J.             ",Y,Y,A+ 
447,UMXIQQJC,False,92.42,"Lerner, Sorin                      ",Y,Y,A  
448,UQ1V8VVF,False,96.41999999999999,"Alvarado, Christine J.             ",Y,Y,A  
449,UQEVR1U7,False,67.83,"Lerner, Sorin                      ",Y,Y,B+ 
450,UWLZ2TMM,False,47.25,"Lerner, Sorin                      ",Y,Y,C  
451,UWWDTQ1H,False,76.17,"Lerner, Sorin                      ",Y,Y,B  
452,UZSWSQ3J,False,100.0,"Lerner, Sorin                      ",Y,Y,A+ 
453,V0JWYM5B,False,77.83,"Lerner, Sorin                      ",Y,Y,A- 
454,V0ZDT5YD,False,81.58,"Lerner, Sorin                      ",Y,Y,A- 
457,VGOLLU0S,False,84.75,"Alvarado, Christine J.             ",Y,Y,A  
458,VHZ2MBN6,False,97.08,"Lerner, Sorin                      ",Y,Y,A  
459,VNFYM2K5,False,88.33,"Lerner, Sorin                      ",Y,Y,A  
460,VPW99F3X,False,98.75,"Alvarado, Christine J.             ",Y,Y,A+ 
461,VVN0PWET,False,95.5,"Alvarado, Christine J.             ",Y,Y,A  
462,VWTD1YZA,False,65.0,"Alvarado, Christine J.             ",Y,Y,C+ 
463,VY4MZGE7,False,70.75,"Alvarado, Christine J.             ",Y,Y,B  
464,W214WAMH,False,80.0,"Lerner, Sorin                      ",Y,Y,B  
466,WCNPLLO3,False,89.08,"Alvarado, Christine J.             ",Y,Y,A  
467,WJC0S984,False,60.67,"Lerner, Sorin                      ",Y,Y,C+ 
468,WKQ3YXRO,False,96.58,"Alvarado, Christine J.             ",Y,Y,A  
469,WMQIKGMG,False,89.58,"Lerner, Sorin                      ",Y,Y,A  
470,WU0TQMUM,False,74.08,"Alvarado, Christine J.             ",Y,Y,B+ 
471,WXTT1VJ4,False,68.5,"Alvarado, Christine J.             ",Y,Y,B  
472,WXUWSSX8,False,63.67,"Lerner, Sorin                      ",Y,Y,B- 
473,WZX0UDPH,False,99.33,"Alvarado, Christine J.             ",Y,Y,A+ 
474,X2673J6L,False,84.58,"Lerner, Sorin                      ",Y,Y,A  
475,XFE0GECY,False,77.5,"Lerner, Sorin                      ",Y,Y,B+ 
476,XGDEG69D,False,73.08,"Lerner, Sorin                      ",Y,Y,P  
477,XIJ141P2,False,98.75,"Alvarado, Christine J.             ",Y,Y,A+ 
478,XIJNBZVD,False,79.33,"Lerner, Sorin                      ",Y,Y,A- 
479,XIZON7YH,False,86.25,"Lerner, Sorin                      ",Y,Y,B+ 
480,XLY0LOX9,False,79.0,"Alvarado, Christine J.             ",Y,Y,A- 
481,XMEQXJWQ,False,96.0,"Alvarado, Christine J.             ",Y,Y,A  
482,XYUQZ9N4,False,87.58,"Lerner, Sorin                      ",Y,Y,A  
483,XZSTYJX4,False,86.83,"Alvarado, Christine J.             ",Y,Y,A  
484,Y0TCWZ5T,False,89.58,"Lerner, Sorin                      ",Y,Y,A  
485,Y0TCWZ5T,False,89.58,"Lerner, Sorin                      ",Y,Y,A  
486,Y2BE0Q8A,False,73.5,"Alvarado, Christine J.             ",Y,Y,B  
487,Y8OAUQ5S,False,97.25,"Lerner, Sorin                      ",Y,Y,A+ 
490,YI3A9OVR,False,80.83,"Alvarado, Christine J.             ",Y,Y,P  
491,YI7230RK,False,97.25,"Alvarado, Christine J.             ",Y,Y,A  
492,YL8IXZJ0,False,96.25,"Lerner, Sorin                      ",Y,Y,A  
493,YLZIMV7U,False,71.58,"Alvarado, Christine J.             ",Y,Y,B+ 
494,YM2TIKL3,False,54.50000000000001,"Alvarado, Christine J.             ",Y,Y,F  
495,YOT5DMBO,False,66.83,"Alvarado, Christine J.             ",Y,Y,C- 
496,YRKLV7Q7,False,95.42,"Lerner, Sorin                      ",Y,Y,A+ 
497,YUJQPQU4,False,95.0,"Alvarado, Christine J.             ",Y,Y,A  
498,YY2ZOLVA,False,78.5,"Lerner, Sorin                      ",Y,Y,B+ 
499,Z0RX8XJ5,False,78.17,"Alvarado, Christine J.             ",Y,Y,A- 
500,Z71AITNN,False,56.92,"Lerner, Sorin                      ",Y,Y,P  
501,Z7EF73TL,False,41.58,"Lerner, Sorin                      ",Y,Y,F  
502,Z7I3KBTW,False,93.08,"Alvarado, Christine J.             ",Y,Y,A  
503,Z8OUCK0Q,False,84.17,"Lerner, Sorin                      ",Y,Y,A  
504,ZB71H0JA,False,80.33,"Lerner, Sorin                      ",Y,Y,P  
505,ZB74VNZ0,False,63.83,"Alvarado, Christine J.             ",Y,Y,B- 
506,ZDT8X2NB,False,79.33,"Alvarado, Christine J.             ",Y,Y,A- 
507,ZHJCCN69,False,91.42,"Alvarado, Christine J.             ",Y,Y,A  
508,ZIGXPHDZ,False,56.99999999999999,"Lerner, Sorin                      ",Y,Y,C  
509,ZJ6KG27S,False,82.25,"Lerner, Sorin                      ",Y,Y,B+ 
510,ZJSMFC90,False,90.33,"Alvarado, Christine J.             ",Y,Y,A  
511,ZL9IUHFE,False,87.0,"Alvarado, Christine J.             ",Y,Y,A  
512,ZLUQ64JU,False,54.50000000000001,"Lerner, Sorin                      ",Y,Y,F  
513,ZMUMVQYI,False,60.08,"Alvarado, Christine J.             ",Y,Y,D  
514,ZN7NCZI5,False,98.33,"Lerner, Sorin                      ",Y,Y,A  
515,ZOP27CR8,False,76.58,"Lerner, Sorin                      ",Y,Y,B+ 
516,ZST5JOVK,False,78.5,"Alvarado, Christine J.             ",Y,Y,A- 
518,ZYYGJAY0,False,93.5,"Alvarado, Christine J.             ",Y,Y,A  
