,DeID,Transfer Status,Overall.weighted.course.percentage..out.of.100.or.between.0.and.1..above.1.OK.if.E.C..,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
372,QHYGKP8X,False,79.57,"Alvarado, Christine J.             ",Y,Y,P  
373,QKKEGR2D,False,98.78,"Lerner, Sorin                      ",Y,Y,A+ 
374,QRBSV3FX,False,58.35,"Alvarado, Christine J.             ",Y,Y,F  
375,QS8OFEVB,False,84.44,"Lerner, Sorin                      ",Y,Y,B  
376,QTHEP0B6,False,94.88,"Lerner, Sorin                      ",Y,Y,A  
377,QTMIZ2YK,False,72.81,"Lerner, Sorin                      ",Y,Y,F  
378,QUYJ46VQ,False,92.1,"Lerner, Sorin                      ",Y,Y,A- 
379,QV1UMQ4S,False,91.59,"Lerner, Sorin                      ",Y,Y,A- 
381,QX8GBG30,False,78.52,"Lerner, Sorin                      ",Y,Y,C+ 
385,R3XRCRNI,False,77.64999999999999,"Lerner, Sorin                      ",Y,Y,C+ 
386,R6269XF8,False,96.33,"Alvarado, Christine J.             ",Y,Y,A  
387,R7SVGVDT,False,86.0,"Lerner, Sorin                      ",Y,Y,B  
388,R9DLP03N,False,89.84,"Lerner, Sorin                      ",Y,Y,B+ 
389,RAIAK65W,False,91.67999999999999,"Alvarado, Christine J.             ",Y,Y,A- 
390,RFEZET82,False,96.07,"Lerner, Sorin                      ",Y,Y,A  
391,RJJCD1N3,False,93.45,"Alvarado, Christine J.             ",Y,Y,A  
392,RLG9E2ZV,False,98.24000000000001,"Lerner, Sorin                      ",Y,Y,A+ 
393,RMRJCO49,False,73.64,"Lerner, Sorin                      ",Y,Y,C  
394,RNWRAIYU,False,94.08,"Lerner, Sorin                      ",Y,Y,A  
395,ROADWW4Z,False,98.71,"Alvarado, Christine J.             ",Y,Y,A+ 
396,RP8U02PI,False,88.07000000000001,"Lerner, Sorin                      ",Y,Y,B+ 
397,RQOXRHO3,False,93.24,"Lerner, Sorin                      ",Y,Y,A  
398,RQU3W53Q,False,96.61,"Alvarado, Christine J.             ",Y,Y,A  
399,RSXIMS8L,False,76.37,"Alvarado, Christine J.             ",Y,Y,C  
401,RW3DERRC,False,83.4,"Lerner, Sorin                      ",Y,Y,B  
402,RWYCXIXB,False,98.89,"Alvarado, Christine J.             ",Y,Y,A+ 
403,S77LVX9W,False,87.55,"Alvarado, Christine J.             ",Y,Y,B+ 
404,S8AQ1E0W,False,88.38000000000001,"Lerner, Sorin                      ",Y,Y,B+ 
405,S9PCRZCY,False,90.99000000000001,"Alvarado, Christine J.             ",Y,Y,A- 
406,SD3WLRSB,False,91.64,"Lerner, Sorin                      ",Y,Y,A- 
407,SERRF52V,False,91.35,"Lerner, Sorin                      ",Y,Y,A- 
408,SHZEH9DZ,False,99.17,"Lerner, Sorin                      ",Y,Y,A+ 
409,SK2OYHEO,False,98.89,"Alvarado, Christine J.             ",Y,Y,A+ 
410,SNWLT08W,False,98.89,"Alvarado, Christine J.             ",Y,Y,A+ 
411,SOHR6ITT,False,71.17,"Lerner, Sorin                      ",Y,Y,F  
412,SQDFVKSL,False,90.36,"Lerner, Sorin                      ",Y,Y,A- 
413,SSV3612M,False,73.66,"Lerner, Sorin                      ",Y,Y,D  
414,ST4WA3DA,False,98.6,"Alvarado, Christine J.             ",Y,Y,A+ 
415,SWMJL3GI,False,74.98,"Lerner, Sorin                      ",Y,Y,C  
416,T0HH089U,False,95.78,"Lerner, Sorin                      ",Y,Y,A  
418,T31RR9FE,False,81.16,"Lerner, Sorin                      ",Y,Y,B- 
419,T38BOXVJ,False,93.65,"Lerner, Sorin                      ",Y,Y,A  
421,T4VUTUQF,False,91.73,"Lerner, Sorin                      ",Y,Y,A- 
422,T527R78N,False,94.78999999999999,"Lerner, Sorin                      ",Y,Y,A  
423,T9NH0TQ9,False,89.28,"Lerner, Sorin                      ",Y,Y,B+ 
425,TB89HD43,False,93.93,"Alvarado, Christine J.             ",Y,Y,A  
426,TCLB82FF,False,74.36,"Alvarado, Christine J.             ",Y,Y,C  
427,TDA1QQPZ,False,92.16,"Alvarado, Christine J.             ",Y,Y,A- 
428,TIODLL4L,False,83.78999999999999,"Lerner, Sorin                      ",Y,Y,B  
429,TK1F70UM,False,89.42999999999999,"Lerner, Sorin                      ",Y,Y,B+ 
430,TLI98M8L,False,59.28,"Alvarado, Christine J.             ",Y,Y,NP 
431,TMT7GS7I,False,86.25,"Lerner, Sorin                      ",Y,Y,B  
432,TN5HUQXA,False,90.01,"Alvarado, Christine J.             ",Y,Y,A- 
433,TOL2C8IW,False,96.81,"Alvarado, Christine J.             ",Y,Y,A  
434,TU32JQ00,False,90.86999999999999,"Lerner, Sorin                      ",Y,Y,A- 
436,TYKOSK3G,False,98.95,"Lerner, Sorin                      ",Y,Y,A+ 
437,TYROY0V2,False,85.3,"Lerner, Sorin                      ",Y,Y,B  
438,U44P0KES,False,94.5,"Alvarado, Christine J.             ",Y,Y,A  
439,U4I688QV,False,98.89,"Alvarado, Christine J.             ",Y,Y,A+ 
440,U5T1NG6U,False,96.13000000000001,"Alvarado, Christine J.             ",Y,Y,A  
441,UDYR522Z,False,51.790000000000006,"Alvarado, Christine J.             ",Y,Y,F  
442,UH5C5WY6,False,93.77,"Alvarado, Christine J.             ",Y,Y,A  
443,UI51SANE,False,94.78,"Alvarado, Christine J.             ",Y,Y,A  
446,UIXGQJ1S,False,98.45,"Alvarado, Christine J.             ",Y,Y,A+ 
447,UMXIQQJC,False,96.4,"Lerner, Sorin                      ",Y,Y,A  
448,UQ1V8VVF,False,97.77,"Alvarado, Christine J.             ",Y,Y,A  
449,UQEVR1U7,False,87.42,"Lerner, Sorin                      ",Y,Y,B+ 
450,UWLZ2TMM,False,76.73,"Lerner, Sorin                      ",Y,Y,C  
451,UWWDTQ1H,False,86.61,"Lerner, Sorin                      ",Y,Y,B  
452,UZSWSQ3J,False,98.11999999999999,"Lerner, Sorin                      ",Y,Y,A+ 
453,V0JWYM5B,False,92.17999999999999,"Lerner, Sorin                      ",Y,Y,A- 
454,V0ZDT5YD,False,91.03,"Lerner, Sorin                      ",Y,Y,A- 
457,VGOLLU0S,False,93.94,"Alvarado, Christine J.             ",Y,Y,A  
458,VHZ2MBN6,False,97.84,"Lerner, Sorin                      ",Y,Y,A  
459,VNFYM2K5,False,93.19,"Lerner, Sorin                      ",Y,Y,A  
460,VPW99F3X,False,98.42,"Alvarado, Christine J.             ",Y,Y,A+ 
461,VVN0PWET,False,95.47,"Alvarado, Christine J.             ",Y,Y,A  
462,VWTD1YZA,False,79.49000000000001,"Alvarado, Christine J.             ",Y,Y,C+ 
463,VY4MZGE7,False,86.91,"Alvarado, Christine J.             ",Y,Y,B  
464,W214WAMH,False,83.94,"Lerner, Sorin                      ",Y,Y,B  
466,WCNPLLO3,False,94.16,"Alvarado, Christine J.             ",Y,Y,A  
467,WJC0S984,False,78.86999999999999,"Lerner, Sorin                      ",Y,Y,C+ 
468,WKQ3YXRO,False,97.4,"Alvarado, Christine J.             ",Y,Y,A  
469,WMQIKGMG,False,93.87,"Lerner, Sorin                      ",Y,Y,A  
470,WU0TQMUM,False,87.06,"Alvarado, Christine J.             ",Y,Y,B+ 
471,WXTT1VJ4,False,86.83999999999999,"Alvarado, Christine J.             ",Y,Y,B  
472,WXUWSSX8,False,82.93,"Lerner, Sorin                      ",Y,Y,B- 
473,WZX0UDPH,False,98.81,"Alvarado, Christine J.             ",Y,Y,A+ 
474,X2673J6L,False,94.43,"Lerner, Sorin                      ",Y,Y,A  
475,XFE0GECY,False,88.68,"Lerner, Sorin                      ",Y,Y,B+ 
476,XGDEG69D,False,88.52,"Lerner, Sorin                      ",Y,Y,P  
477,XIJ141P2,False,98.57000000000001,"Alvarado, Christine J.             ",Y,Y,A+ 
478,XIJNBZVD,False,91.56,"Lerner, Sorin                      ",Y,Y,A- 
479,XIZON7YH,False,89.42999999999999,"Lerner, Sorin                      ",Y,Y,B+ 
480,XLY0LOX9,False,91.09,"Alvarado, Christine J.             ",Y,Y,A- 
481,XMEQXJWQ,False,97.87,"Alvarado, Christine J.             ",Y,Y,A  
482,XYUQZ9N4,False,94.52000000000001,"Lerner, Sorin                      ",Y,Y,A  
483,XZSTYJX4,False,93.9,"Alvarado, Christine J.             ",Y,Y,A  
484,Y0TCWZ5T,False,97.02,"Lerner, Sorin                      ",Y,Y,A  
485,Y0TCWZ5T,False,97.02,"Lerner, Sorin                      ",Y,Y,A  
486,Y2BE0Q8A,False,83.83,"Alvarado, Christine J.             ",Y,Y,B  
487,Y8OAUQ5S,False,98.9,"Lerner, Sorin                      ",Y,Y,A+ 
490,YI3A9OVR,False,90.69,"Alvarado, Christine J.             ",Y,Y,P  
491,YI7230RK,False,97.82,"Alvarado, Christine J.             ",Y,Y,A  
492,YL8IXZJ0,False,96.97,"Lerner, Sorin                      ",Y,Y,A  
493,YLZIMV7U,False,89.08,"Alvarado, Christine J.             ",Y,Y,B+ 
494,YM2TIKL3,False,69.48,"Alvarado, Christine J.             ",Y,Y,F  
495,YOT5DMBO,False,72.16,"Alvarado, Christine J.             ",Y,Y,C- 
496,YRKLV7Q7,False,98.7,"Lerner, Sorin                      ",Y,Y,A+ 
497,YUJQPQU4,False,96.98,"Alvarado, Christine J.             ",Y,Y,A  
498,YY2ZOLVA,False,89.8,"Lerner, Sorin                      ",Y,Y,B+ 
499,Z0RX8XJ5,False,91.39,"Alvarado, Christine J.             ",Y,Y,A- 
500,Z71AITNN,False,80.53,"Lerner, Sorin                      ",Y,Y,P  
501,Z7EF73TL,False,72.76,"Lerner, Sorin                      ",Y,Y,F  
502,Z7I3KBTW,False,94.65,"Alvarado, Christine J.             ",Y,Y,A  
503,Z8OUCK0Q,False,94.06,"Lerner, Sorin                      ",Y,Y,A  
504,ZB71H0JA,False,89.25,"Lerner, Sorin                      ",Y,Y,P  
505,ZB74VNZ0,False,81.42,"Alvarado, Christine J.             ",Y,Y,B- 
506,ZDT8X2NB,False,90.91,"Alvarado, Christine J.             ",Y,Y,A- 
507,ZHJCCN69,False,96.39,"Alvarado, Christine J.             ",Y,Y,A  
508,ZIGXPHDZ,False,76.75999999999999,"Lerner, Sorin                      ",Y,Y,C  
509,ZJ6KG27S,False,89.12,"Lerner, Sorin                      ",Y,Y,B+ 
510,ZJSMFC90,False,95.73,"Alvarado, Christine J.             ",Y,Y,A  
511,ZL9IUHFE,False,94.15,"Alvarado, Christine J.             ",Y,Y,A  
512,ZLUQ64JU,False,67.38,"Lerner, Sorin                      ",Y,Y,F  
513,ZMUMVQYI,False,74.5,"Alvarado, Christine J.             ",Y,Y,D  
514,ZN7NCZI5,False,96.67999999999999,"Lerner, Sorin                      ",Y,Y,A  
515,ZOP27CR8,False,89.71000000000001,"Lerner, Sorin                      ",Y,Y,B+ 
516,ZST5JOVK,False,92.54,"Alvarado, Christine J.             ",Y,Y,A- 
518,ZYYGJAY0,False,95.12,"Alvarado, Christine J.             ",Y,Y,A  
