,DeID,Transfer Status,Overall.weighted.course.percentage..out.of.100.or.between.0.and.1..above.1.OK.if.E.C..,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
84,5VQOMWVO,False,86.6,"Alvarado, Christine J.             ",Y,Y,B  
85,5XCURLDS,False,90.38000000000001,"Alvarado, Christine J.             ",Y,Y,A- 
86,5Z87GMPE,False,97.27,"Alvarado, Christine J.             ",Y,Y,A  
87,63BU2T1Z,False,95.82000000000001,"Alvarado, Christine J.             ",Y,Y,A  
88,63VGE34R,False,97.52,"Alvarado, Christine J.             ",Y,Y,A  
89,64SF3V4T,False,93.91000000000001,"Lerner, Sorin                      ",Y,Y,A  
90,65JLYPR7,False,84.81,"Alvarado, Christine J.             ",Y,Y,B  
91,668J389O,False,82.78999999999999,"Lerner, Sorin                      ",Y,Y,C- 
92,69U9087F,False,80.88,"Alvarado, Christine J.             ",Y,Y,B- 
93,6AN2NYEW,False,97.72,"Lerner, Sorin                      ",Y,Y,A  
94,6J7JKHYR,False,96.83,"Lerner, Sorin                      ",Y,Y,A  
95,6LZAC2JA,False,93.73,"Lerner, Sorin                      ",Y,Y,A  
96,6POBGC6F,False,91.8,"Alvarado, Christine J.             ",Y,Y,A- 
97,6QDAE16C,False,96.81,"Alvarado, Christine J.             ",Y,Y,A  
99,6SCSR8QI,False,89.62,"Alvarado, Christine J.             ",Y,Y,B+ 
100,6VGU8STT,False,97.82,"Alvarado, Christine J.             ",Y,Y,A  
101,6YW3QBWU,False,92.85,"Lerner, Sorin                      ",Y,Y,A- 
102,7105EJ1T,False,97.8,"Lerner, Sorin                      ",Y,Y,A+ 
103,72GB717K,False,90.86,"Alvarado, Christine J.             ",Y,Y,A- 
104,73BD8V5W,False,48.27,"Lerner, Sorin                      ",Y,Y,NP 
106,78H841QG,False,90.5,"Lerner, Sorin                      ",Y,Y,A- 
107,7FAO13VF,False,95.88,"Alvarado, Christine J.             ",Y,Y,A  
108,7KIWIMK3,False,95.78,"Lerner, Sorin                      ",Y,Y,A  
109,7OCUS5CI,False,78.8,"Alvarado, Christine J.             ",Y,Y,B- 
110,7Q7MQ3N3,False,95.39,"Lerner, Sorin                      ",Y,Y,A  
111,7ROMJT0U,False,98.33,"Alvarado, Christine J.             ",Y,Y,A+ 
112,7TNYSJV0,False,92.0,"Lerner, Sorin                      ",Y,Y,A- 
114,7ZDR3PCO,False,90.56,"Alvarado, Christine J.             ",Y,Y,A- 
115,806STYZK,False,93.55,"Lerner, Sorin                      ",Y,Y,A  
116,8BPKB7M4,False,71.1,"Lerner, Sorin                      ",Y,Y,F  
118,8JWV4GC6,False,93.27,"Lerner, Sorin                      ",Y,Y,A  
120,8WIYQTIR,False,77.12,"Lerner, Sorin                      ",Y,Y,C+ 
121,9FER7O5R,False,87.76,"Lerner, Sorin                      ",Y,Y,B+ 
122,9HBNNXT8,False,98.32,"Alvarado, Christine J.             ",Y,Y,A+ 
124,9IQJUAA6,False,95.48,"Alvarado, Christine J.             ",Y,Y,A  
125,9ISC9QSQ,False,98.46000000000001,"Alvarado, Christine J.             ",Y,Y,A+ 
126,9K73MBAY,False,93.04,"Lerner, Sorin                      ",Y,Y,A  
127,9L8BH6X1,False,95.81,"Alvarado, Christine J.             ",Y,Y,A  
129,9ONOJ0H6,False,67.32000000000001,"Alvarado, Christine J.             ",Y,Y,F  
130,9R9A8KB7,False,98.08,"Alvarado, Christine J.             ",Y,Y,A+ 
131,9V14RFLW,False,97.31,"Alvarado, Christine J.             ",Y,Y,A  
132,9VME0ZWK,False,82.91,"Alvarado, Christine J.             ",Y,Y,B- 
133,A5NMJKTE,False,87.32,"Lerner, Sorin                      ",Y,Y,B+ 
134,ADLZMXZF,False,95.00999999999999,"Alvarado, Christine J.             ",Y,Y,A  
135,AERWXBQT,False,94.76,"Lerner, Sorin                      ",Y,Y,A  
136,AG4JIR2V,False,88.09,"Lerner, Sorin                      ",Y,Y,B+ 
137,AGOOJIZC,False,84.75,"Lerner, Sorin                      ",Y,Y,P  
138,AGYSTFXE,False,99.29,"Alvarado, Christine J.             ",Y,Y,A+ 
139,AJTHCM05,False,94.49,"Lerner, Sorin                      ",Y,Y,A  
140,AMJRZOO4,False,95.99,"Alvarado, Christine J.             ",Y,Y,A  
141,ASDU4EW1,False,90.79,"Alvarado, Christine J.             ",Y,Y,A- 
142,AT11GC64,False,91.35,"Lerner, Sorin                      ",Y,Y,A- 
143,AV7JSUBP,False,93.67,"Alvarado, Christine J.             ",Y,Y,A  
144,AWKDXR5O,False,89.22,"Lerner, Sorin                      ",Y,Y,C+ 
145,AWLIQTMU,False,96.05,"Alvarado, Christine J.             ",Y,Y,A  
146,B0F0VHQM,False,98.26,"Alvarado, Christine J.             ",Y,Y,A+ 
147,B0NP46RQ,False,93.55,"Lerner, Sorin                      ",Y,Y,A  
149,B414GPAC,False,92.63,"Lerner, Sorin                      ",Y,Y,A- 
150,B613BEZ0,False,95.88,"Lerner, Sorin                      ",Y,Y,A  
151,B81U8RV8,False,86.92,"Lerner, Sorin                      ",Y,Y,C  
152,BBRJTF91,False,99.42,"Lerner, Sorin                      ",Y,Y,A+ 
153,BD4H09MX,False,96.59,"Lerner, Sorin                      ",Y,Y,A  
154,BDIP6BEU,False,93.24,"Lerner, Sorin                      ",Y,Y,B  
156,BG2PIXEX,False,95.64,"Alvarado, Christine J.             ",Y,Y,A  
157,BGSGV2HL,False,95.9,"Alvarado, Christine J.             ",Y,Y,A  
158,BR00GTJ5,False,97.09,"Lerner, Sorin                      ",Y,Y,A  
159,BSL7NDCZ,False,94.17,"Alvarado, Christine J.             ",Y,Y,A  
160,BZF1R4W0,False,76.67,"Alvarado, Christine J.             ",Y,Y,F  
161,C0MPLLR9,False,93.04,"Lerner, Sorin                      ",Y,Y,A  
162,C3WZSDHO,False,95.30999999999999,"Alvarado, Christine J.             ",Y,Y,A  
163,C5W50SOI,False,92.66,"Lerner, Sorin                      ",Y,Y,A- 
166,CDP5TDJM,False,96.81,"Lerner, Sorin                      ",Y,Y,A  
167,CGT9K6MK,False,93.55,"Lerner, Sorin                      ",Y,Y,A  
168,CJRV5WJF,False,92.49000000000001,"Alvarado, Christine J.             ",Y,Y,A- 
169,CL800MTT,False,89.47,"Lerner, Sorin                      ",Y,Y,B+ 
170,CL9HJ7DD,False,84.36,"Alvarado, Christine J.             ",Y,Y,B  
171,CLOZ5AAM,False,94.63000000000001,"Alvarado, Christine J.             ",Y,Y,A  
173,CMDC320F,False,90.45,"Lerner, Sorin                      ",Y,Y,A- 
174,CQ3HKOYX,False,94.57,"Alvarado, Christine J.             ",Y,Y,A  
175,CQPMMBE7,False,90.66,"Lerner, Sorin                      ",Y,Y,A- 
176,CRSI72RY,False,95.09,"Alvarado, Christine J.             ",Y,Y,A  
177,CSVU80MG,False,87.53999999999999,"Alvarado, Christine J.             ",Y,Y,B+ 
178,CW0TWPZR,False,95.27,"Alvarado, Christine J.             ",Y,Y,A  
179,CZIGXRYP,False,96.83,"Alvarado, Christine J.             ",Y,Y,A  
180,D226NMJP,False,94.71000000000001,"Alvarado, Christine J.             ",Y,Y,A  
181,D2PDHXCR,False,88.83,"Alvarado, Christine J.             ",Y,Y,B+ 
182,D4BND4OF,False,72.34,"Lerner, Sorin                      ",Y,Y,C- 
183,D58K0UOQ,False,98.48,"Lerner, Sorin                      ",Y,Y,A+ 
184,DDWN6VB1,False,94.23,"Alvarado, Christine J.             ",Y,Y,A  
185,DEYZMWO6,False,80.3,"Lerner, Sorin                      ",Y,Y,B- 
187,DJBVREYM,False,89.18,"Lerner, Sorin                      ",Y,Y,B+ 
188,DJVQXO0Y,False,88.91,"Alvarado, Christine J.             ",Y,Y,B+ 
189,DN5L5E02,False,92.34,"Alvarado, Christine J.             ",Y,Y,A- 
191,DTZ3WEFP,False,98.72999999999999,"Alvarado, Christine J.             ",Y,Y,A+ 
192,DUKBIFIV,False,96.26,"Alvarado, Christine J.             ",Y,Y,A  
193,DWRQLM42,False,96.00999999999999,"Alvarado, Christine J.             ",Y,Y,A  
194,E1K24ERG,False,86.82,"Lerner, Sorin                      ",Y,Y,B  
195,E7D1676F,False,92.3,"Lerner, Sorin                      ",Y,Y,A- 
197,E7V1XN6U,False,94.97,"Alvarado, Christine J.             ",Y,Y,A  
198,E885V9W9,False,85.15,"Alvarado, Christine J.             ",Y,Y,B  
199,E8QP4BFL,False,89.18,"Alvarado, Christine J.             ",Y,Y,B+ 
200,E96EJ1W7,False,91.45,"Lerner, Sorin                      ",Y,Y,A- 
201,EBRJ26QD,False,92.16,"Alvarado, Christine J.             ",Y,Y,A- 
202,EFM5M2F2,False,96.71,"Lerner, Sorin                      ",Y,Y,A  
203,EFM5M2F2,False,96.71,"Lerner, Sorin                      ",Y,Y,A  
204,EG06PPYB,False,75.98,"Alvarado, Christine J.             ",Y,Y,C  
206,EN9M2QX9,False,80.91000000000001,"Lerner, Sorin                      ",Y,Y,B- 
207,ES5TP0KY,False,88.84,"Lerner, Sorin                      ",Y,Y,B+ 
208,EU9L3V2S,False,79.01,"Alvarado, Christine J.             ",Y,Y,C+ 
209,EXBTEBFC,False,93.46,"Alvarado, Christine J.             ",Y,Y,A  
210,EZM58OT8,False,96.93,"Alvarado, Christine J.             ",Y,Y,A  
211,F1OC0OSJ,False,86.5,"Alvarado, Christine J.             ",Y,Y,B  
212,F22XWAA8,False,95.2,"Lerner, Sorin                      ",Y,Y,A  
213,F3F1ZOMR,False,96.54,"Lerner, Sorin                      ",Y,Y,A  
214,F74NGECY,False,97.66,"Alvarado, Christine J.             ",Y,Y,A  
215,F9ZB9QXX,False,93.97999999999999,"Lerner, Sorin                      ",Y,Y,A  
216,FCSCRQ69,False,98.75,"Alvarado, Christine J.             ",Y,Y,A+ 
217,FET6T324,False,90.25999999999999,"Alvarado, Christine J.             ",Y,Y,A- 
218,FNTCHD74,False,96.14,"Lerner, Sorin                      ",Y,Y,A  
219,FVZD1SZ5,False,83.77,"Lerner, Sorin                      ",Y,Y,B  
220,G05T833E,False,98.22999999999999,"Lerner, Sorin                      ",Y,Y,A+ 
221,G5TXVPT5,False,89.53999999999999,"Lerner, Sorin                      ",Y,Y,B+ 
224,GB15HU58,False,91.46,"Lerner, Sorin                      ",Y,Y,A- 
225,GFYRZ57B,False,65.84,"Alvarado, Christine J.             ",Y,Y,F  
226,GIYYL71M,False,96.41,"Alvarado, Christine J.             ",Y,Y,A  
227,GK12PDL9,False,95.34,"Lerner, Sorin                      ",Y,Y,A  
228,GPQIUEA9,False,95.28999999999999,"Lerner, Sorin                      ",Y,Y,A  
229,GR6F8DYJ,False,69.46,"Lerner, Sorin                      ",Y,Y,F  
230,GRPNYVAS,False,93.15,"Lerner, Sorin                      ",Y,Y,A  
231,GV8O09G5,False,99.28,"Lerner, Sorin                      ",Y,Y,A+ 
232,GYM9HLU1,False,95.41,"Alvarado, Christine J.             ",Y,Y,A  
233,GZ7147OJ,False,93.51,"Alvarado, Christine J.             ",Y,Y,A  
234,H05DIVIH,False,94.72,"Alvarado, Christine J.             ",Y,Y,A  
235,H2OPMGTZ,False,91.47,"Alvarado, Christine J.             ",Y,Y,A- 
236,H2Z5S6CE,False,97.72999999999999,"Alvarado, Christine J.             ",Y,Y,A  
238,HJSLFCBH,False,95.24000000000001,"Lerner, Sorin                      ",Y,Y,A  
239,HL5L331C,False,95.6,"Alvarado, Christine J.             ",Y,Y,A  
240,HSFAS81S,False,90.51,"Alvarado, Christine J.             ",Y,Y,A- 
241,HW3IKNUC,False,97.33000000000001,"Lerner, Sorin                      ",Y,Y,A  
242,HZ91TFR7,False,78.31,"Alvarado, Christine J.             ",Y,Y,C+ 
243,I56PLFF0,False,96.84,"Lerner, Sorin                      ",Y,Y,A  
244,I5TBS6UK,False,92.25,"Lerner, Sorin                      ",Y,Y,A- 
245,I8OCRZQK,False,97.92999999999999,"Lerner, Sorin                      ",Y,Y,A  
246,IEHVVYEF,False,96.7,"Lerner, Sorin                      ",Y,Y,A  
248,IHEKLGA1,False,89.25999999999999,"Lerner, Sorin                      ",Y,Y,B+ 
249,IHSNE5ZD,False,96.73,"Lerner, Sorin                      ",Y,Y,A  
251,IP3FMI9B,False,93.56,"Alvarado, Christine J.             ",Y,Y,A  
252,IR5RDF7M,False,95.94,"Alvarado, Christine J.             ",Y,Y,A  
253,ISVFEMZR,False,92.89,"Alvarado, Christine J.             ",Y,Y,A- 
254,ITI1OT02,False,39.18,"Lerner, Sorin                      ",Y,Y,F  
255,IU5XZVEU,False,40.44,"Lerner, Sorin                      ",Y,Y,F  
256,IVHRLB7K,False,53.839999999999996,"Alvarado, Christine J.             ",Y,Y,F  
257,IWYOZJST,False,91.66,"Alvarado, Christine J.             ",Y,Y,A- 
258,IYOPPGV5,False,93.15,"Alvarado, Christine J.             ",Y,Y,A  
259,IZV79Z1B,False,97.06,"Alvarado, Christine J.             ",Y,Y,A  
260,J17QWOUJ,False,93.45,"Alvarado, Christine J.             ",Y,Y,A  
261,J459XRL1,False,93.57,"Lerner, Sorin                      ",Y,Y,A  
263,J8GI9DFV,False,98.46000000000001,"Lerner, Sorin                      ",Y,Y,A+ 
264,J8QWEZXF,False,78.72,"Lerner, Sorin                      ",Y,Y,C+ 
265,JAX4144P,False,86.11999999999999,"Lerner, Sorin                      ",Y,Y,B  
266,JE0UDU7G,False,93.92,"Alvarado, Christine J.             ",Y,Y,A  
267,JGB3L5TV,False,93.3,"Lerner, Sorin                      ",Y,Y,A  
268,JL2CQO0Y,False,80.65,"Alvarado, Christine J.             ",Y,Y,B- 
269,JMB7JZQE,False,89.42999999999999,"Lerner, Sorin                      ",Y,Y,B+ 
270,JNPG46PU,False,88.37,"Alvarado, Christine J.             ",Y,Y,B+ 
271,JQW9ZYI7,False,89.94,"Alvarado, Christine J.             ",Y,Y,B+ 
272,JS8I4GHG,False,89.79,"Lerner, Sorin                      ",Y,Y,B+ 
273,JV5P771G,False,91.28,"Lerner, Sorin                      ",Y,Y,A- 
274,JZUY5MHH,False,98.22,"Alvarado, Christine J.             ",Y,Y,A+ 
275,K0FK5GG0,False,86.41,"Alvarado, Christine J.             ",Y,Y,B  
276,K230LIFQ,False,44.6,"Lerner, Sorin                      ",Y,Y,I  
278,K4O7N0KG,False,76.12,"Lerner, Sorin                      ",Y,Y,F  
279,K58KG156,False,98.6,"Alvarado, Christine J.             ",Y,Y,A+ 
280,K9444F6X,False,96.87,"Lerner, Sorin                      ",Y,Y,A  
281,K9M0R5NS,False,85.92999999999999,"Lerner, Sorin                      ",Y,Y,B  
282,KBC4X3Q8,False,93.58999999999999,"Lerner, Sorin                      ",Y,Y,A  
283,KEVGY2QF,False,95.73,"Lerner, Sorin                      ",Y,Y,A  
284,KILP19JM,False,47.99,"Lerner, Sorin                      ",Y,Y,F  
285,KK6138WW,False,98.58,"Lerner, Sorin                      ",Y,Y,A+ 
286,KKYJYTTD,False,91.09,"Lerner, Sorin                      ",Y,Y,A- 
288,KUS3T8XV,False,90.53999999999999,"Lerner, Sorin                      ",Y,Y,A- 
289,KY0I23AD,False,97.87,"Lerner, Sorin                      ",Y,Y,A  
290,KY82OGR8,False,97.2,"Lerner, Sorin                      ",Y,Y,A  
291,L0EUXJ5Q,False,93.99,"Lerner, Sorin                      ",Y,Y,A  
292,L0WFR75T,False,94.61,"Lerner, Sorin                      ",Y,Y,A  
293,L3301MTE,False,65.74,"Lerner, Sorin                      ",Y,Y,F  
294,L6N9CT2Z,False,97.58,"Lerner, Sorin                      ",Y,Y,A  
295,L7ASJVIO,False,93.72,"Alvarado, Christine J.             ",Y,Y,A  
296,LAP4IT5J,False,96.41,"Alvarado, Christine J.             ",Y,Y,A  
297,LGSKLEBN,False,95.55,"Lerner, Sorin                      ",Y,Y,A  
298,LI0L0EDU,False,96.0,"Lerner, Sorin                      ",Y,Y,A  
299,LK0AV7SN,False,82.25,"Alvarado, Christine J.             ",Y,Y,B- 
300,LKMRGJH2,False,95.14,"Alvarado, Christine J.             ",Y,Y,A  
301,LMJAIJ2D,False,99.51,"Alvarado, Christine J.             ",Y,Y,A+ 
302,LR3PWW8B,False,86.85000000000001,"Lerner, Sorin                      ",Y,Y,B  
303,LT4ZCY4I,False,82.88,"Lerner, Sorin                      ",Y,Y,B- 
304,LX5BT4UT,False,83.15,"Alvarado, Christine J.             ",Y,Y,P  
305,LYVRVVL8,False,95.28999999999999,"Alvarado, Christine J.             ",Y,Y,A  
306,LZ0DBCRW,False,84.78,"Alvarado, Christine J.             ",Y,Y,B  
307,M0IWKTA7,False,93.54,"Lerner, Sorin                      ",Y,Y,A  
308,M0XVLNB1,False,93.92,"Alvarado, Christine J.             ",Y,Y,A  
310,M8J3O0P6,False,88.27000000000001,"Alvarado, Christine J.             ",Y,Y,B+ 
311,MAZ5AMVO,False,70.82000000000001,"Lerner, Sorin                      ",Y,Y,F  
312,MDYUAN6J,False,85.50999999999999,"Lerner, Sorin                      ",Y,Y,B  
313,MRIN3H3P,False,92.39,"Alvarado, Christine J.             ",Y,Y,A- 
314,MS58HO5O,False,98.14,"Alvarado, Christine J.             ",Y,Y,A+ 
315,MTKRTVXG,False,26.36,"Alvarado, Christine J.             ",Y,Y,NP 
316,MWPCH3Z0,False,85.87,"Alvarado, Christine J.             ",Y,Y,B  
317,N04IZFPP,False,92.75999999999999,"Alvarado, Christine J.             ",Y,Y,A- 
318,N696TM9G,False,98.28,"Lerner, Sorin                      ",Y,Y,A+ 
319,N9QUM2TI,False,95.2,"Lerner, Sorin                      ",Y,Y,A  
320,NCH6KPWX,False,97.49,"Alvarado, Christine J.             ",Y,Y,A  
321,NI2X7ZFF,False,38.940000000000005,"Alvarado, Christine J.             ",Y,Y,F  
322,NKJ6WPZ7,False,83.85000000000001,"Lerner, Sorin                      ",Y,Y,B  
323,NL2TXV52,False,90.94,"Alvarado, Christine J.             ",Y,Y,A- 
324,NL3XNCCZ,False,99.11,"Alvarado, Christine J.             ",Y,Y,A+ 
326,NOCUNUYL,False,87.21,"Lerner, Sorin                      ",Y,Y,B+ 
327,NOTLEB1I,False,84.84,"Alvarado, Christine J.             ",Y,Y,B  
328,NRNHOJ8O,False,85.16,"Lerner, Sorin                      ",Y,Y,B  
331,NWELEL8P,False,93.45,"Lerner, Sorin                      ",Y,Y,A  
333,NYW5ODPV,False,95.43,"Lerner, Sorin                      ",Y,Y,A  
334,O14CJMHJ,False,97.7,"Lerner, Sorin                      ",Y,Y,A+ 
335,O2ND6P18,False,97.98,"Alvarado, Christine J.             ",Y,Y,A+ 
