,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
125,IS1XQ2OH,True,100.0,0.0,20.0,98.75,28.000000000000004,71.91,31.2,0.0,0.0,"Gillespie, Gary N                  ",Y,Y,F  
126,IU5GUSA7,True,84.0,87.16666670000001,81.0666667,68.75,83.44,74.22,96.24000000000001,81.36,91.365,"Gillespie, Gary N                  ",Y,Y,A  
130,JJMGNAUW,True,100.0,0.0,63.7,0.0,61.746666700000006,51.57000000000001,79.432,76.66666670000001,92.89,"Gillespie, Gary N                  ",Y,Y,D  
132,K0VFTOOM,True,100.0,79.8,82.5333333,90.0,58.0533333,74.42999999999999,94.92,96.66666670000001,93.985,"Gillespie, Gary N                  ",Y,Y,A  
137,KVU5NOUB,True,0.0,46.6666667,75.8,58.75,27.9466667,39.61,83.096,88.62,92.89,"Gillespie, Gary N                  ",Y,Y,D  
140,LDZ33RRK,True,90.0,77.63333329999999,37.2,71.25,39.56,90.0,45.464,79.0466667,84.45,"Gillespie, Gary N                  ",Y,Y,D  
142,LT5F9FWJ,True,80.0,52.366666699999996,37.033333299999995,70.0,85.3866667,77.75999999999999,63.456,87.9533333,84.965,"Gillespie, Gary N                  ",Y,Y,B- 
158,OA7CCEI8,True,60.0,0.0,16.6666667,0.0,0.0,30.12,18.16,0.0,0.0,"Gillespie, Gary N                  ",Y,Y,F  
161,OCEKX98F,True,100.0,94.7,100.0,100.0,84.0,98.08,94.64,92.38,92.58,"Gillespie, Gary N                  ",Y,Y,A  
162,OHO0V0EM,True,100.0,87.2666667,98.7666667,40.0,48.613333299999994,92.72,95.304,68.62,91.91,"Gillespie, Gary N                  ",Y,Y,B- 
165,P7WWT85C,True,100.0,70.6,85.1,98.75,98.02666669999999,93.44,100.0,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
166,PCMK7ZJU,True,100.0,78.6333333,64.9,100.0,98.66666670000001,95.44,99.2,90.0733333,100.0,"Gillespie, Gary N                  ",Y,Y,A  
168,Q20DI5Q0,True,0.0,93.1333333,94.2,100.0,94.66666670000001,98.72,100.0,100.0,98.75,"Gillespie, Gary N                  ",Y,Y,A  
169,QUON1228,True,100.0,80.8,29.833333300000003,81.25,85.3866667,86.99,95.86399999999999,80.30666670000001,94.92,"Gillespie, Gary N                  ",Y,Y,D  
172,QXHP2ZYQ,True,100.0,96.66666670000001,100.0,100.0,100.0,87.11,100.0,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
173,QZ995NE8,True,100.0,54.29999999999999,46.1333333,81.25,59.0,71.83,96.24000000000001,79.0466667,91.365,"Gillespie, Gary N                  ",Y,Y,B  
185,SKX5LQ20,True,100.0,89.8,78.6,97.5,92.05333329999999,94.72,98.11999999999999,94.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
186,T0EWCQT7,True,88.0,71.5666667,55.8,75.0,44.613333299999994,91.52,98.264,92.0,80.06,"Gillespie, Gary N                  ",Y,Y,B- 
187,T1ADLMJT,True,76.0,75.5,84.4,90.0,89.36,88.72,76.096,82.38,62.785000000000004,"Gillespie, Gary N                  ",Y,Y,B  
202,W4B2TSXM,True,84.0,0.0,77.7333333,67.5,82.4133333,84.86,81.832,54.90666670000001,48.635,"Gillespie, Gary N                  ",Y,Y,B- 
206,WK1QC0F7,True,100.0,87.83333329999999,94.2,100.0,49.28,66.81,98.11999999999999,65.57333329999999,97.055,"Gillespie, Gary N                  ",Y,Y,B  
208,WWLQ9G21,True,100.0,68.2333333,91.4,80.0,86.33333329999999,62.82,31.288,65.5466667,26.825,"Gillespie, Gary N                  ",Y,Y,C+ 
209,X29GZII3,True,12.0,33.3333333,58.599999999999994,58.75,40.33333329999999,29.709999999999997,21.36,51.5,34.375,"Gillespie, Gary N                  ",Y,Y,F  
217,XY8QOSP0,True,100.0,88.83333329999999,65.9666667,92.5,13.3333333,54.99000000000001,96.8,88.38000000000001,62.934999999999995,"Gillespie, Gary N                  ",Y,Y,B  
222,YPIW6V65,True,100.0,30.599999999999998,38.933333299999994,77.5,37.0,2.4,47.888000000000005,0.0,0.0,"Gillespie, Gary N                  ",Y,Y,F  
