,DeID,Transfer Status,Weighted.Course.Average,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
99,EFXSJJ4C,False,0.924,"Gillespie, Gary N                  ",Y,Y,A  
100,EQAUYKTO,False,0.8106,"Gillespie, Gary N                  ",Y,Y,B  
101,ESOSV3Q9,False,0.8368,"Gillespie, Gary N                  ",Y,Y,A- 
102,F19B6TQR,False,0.9368,"Gillespie, Gary N                  ",Y,Y,A  
103,FAEREFGY,False,0.8689,"Gillespie, Gary N                  ",Y,Y,A  
104,FFN5W4T9,False,0.8838,"Gillespie, Gary N                  ",Y,Y,A  
105,FJ6AKLC6,False,0.7864,"Gillespie, Gary N                  ",Y,Y,B  
107,FOZ7CJ8F,False,0.4834,"Gillespie, Gary N                  ",Y,Y,Grade Pending
108,G396JBRX,False,0.8190000000000001,"Gillespie, Gary N                  ",Y,Y,B  
112,GFI1N5NJ,False,0.5701,"Gillespie, Gary N                  ",Y,Y,U  
113,H4VYAS7V,False,0.9771,"Gillespie, Gary N                  ",Y,Y,A+ 
114,H6CR4T63,False,0.9359,"Gillespie, Gary N                  ",Y,Y,A  
115,HFZ6G95X,False,0.8503,"Gillespie, Gary N                  ",Y,Y,A- 
117,HUYJ2Z64,False,0.5161,"Gillespie, Gary N                  ",Y,Y,F  
122,I6YMR4N3,False,0.5697,"Gillespie, Gary N                  ",Y,Y,D  
127,J08KDV0E,False,0.7673,"Gillespie, Gary N                  ",Y,Y,B+ 
128,J5G0WJP3,False,0.6983,"Gillespie, Gary N                  ",Y,Y,D  
129,JH6256UQ,False,0.9441,"Gillespie, Gary N                  ",Y,Y,A+ 
131,JJZZVQD2,False,0.6084,"Gillespie, Gary N                  ",Y,Y,C  
133,K3JCJ36E,False,0.9139,"Gillespie, Gary N                  ",Y,Y,B+ 
134,KB67GK36,False,0.7736,"Gillespie, Gary N                  ",Y,Y,B  
135,KIMW6WRX,False,0.746,"Gillespie, Gary N                  ",Y,Y,B- 
136,KQEELFAI,False,0.9538,"Gillespie, Gary N                  ",Y,Y,A+ 
138,KWXWY8Y1,False,0.9193,"Gillespie, Gary N                  ",Y,Y,A  
139,L40FQQZN,False,0.8854,"Gillespie, Gary N                  ",Y,Y,A  
141,LSPLH1WD,False,0.2109,"Gillespie, Gary N                  ",Y,Y,F  
143,LVI2VS58,False,0.8868,"Gillespie, Gary N                  ",Y,Y,A  
144,LXGGEWLP,False,0.9209999999999999,"Gillespie, Gary N                  ",Y,Y,A  
145,LZN1JJ1J,False,0.9152,"Gillespie, Gary N                  ",Y,Y,A  
146,M6AEPMRR,False,0.9089,"Gillespie, Gary N                  ",Y,Y,A  
147,M81RNKAB,False,0.9621,"Gillespie, Gary N                  ",Y,Y,A+ 
148,MDMPVIE0,False,0.8561,"Gillespie, Gary N                  ",Y,Y,A- 
149,MHA6AV50,False,0.7227,"Gillespie, Gary N                  ",Y,Y,C+ 
150,MISHZ4MU,False,0.8412,"Gillespie, Gary N                  ",Y,Y,Grade Pending
151,N7WQ5VXB,False,0.905,"Gillespie, Gary N                  ",Y,Y,A  
152,NGABZJNW,False,0.9478,"Gillespie, Gary N                  ",Y,Y,A  
153,NNZCJHTL,False,0.8227,"Gillespie, Gary N                  ",Y,Y,C+ 
154,NTY4WLCI,False,0.2176,"Gillespie, Gary N                  ",Y,Y,F  
155,NTZUPDYT,False,0.6245,"Gillespie, Gary N                  ",Y,Y,C  
156,NWQH6U9I,False,0.9235,"Gillespie, Gary N                  ",Y,Y,A  
157,NZIDR8BL,False,0.7484,"Gillespie, Gary N                  ",Y,Y,B- 
159,OBP7K2UD,False,0.9828,"Gillespie, Gary N                  ",Y,Y,A+ 
160,OC34VZ49,False,0.6441,"Gillespie, Gary N                  ",Y,Y,C  
163,OKNES1V5,False,0.7631,"Gillespie, Gary N                  ",Y,Y,C  
164,OVK8LMQX,False,0.8851,"Gillespie, Gary N                  ",Y,Y,A  
167,PM6VND9G,False,0.6687,"Gillespie, Gary N                  ",Y,Y,C  
170,QUSJDMGM,False,0.8404,"Gillespie, Gary N                  ",Y,Y,A- 
171,QVP2AIBU,False,0.9402,"Gillespie, Gary N                  ",Y,Y,A  
174,R50ZEKQP,False,0.254,"Gillespie, Gary N                  ",Y,Y,F  
175,R55S87ZF,False,0.8712,"Gillespie, Gary N                  ",Y,Y,B  
176,REZ3M4U9,False,0.9186,"Gillespie, Gary N                  ",Y,Y,A  
177,RPO3ROLO,False,0.9433,"Gillespie, Gary N                  ",Y,Y,A+ 
178,RS945JJ1,False,0.8645,"Gillespie, Gary N                  ",Y,Y,Grade Pending
179,RW9CCT13,False,0.4026,"Gillespie, Gary N                  ",Y,Y,F  
180,S0SPZ32D,False,0.858,"Gillespie, Gary N                  ",Y,Y,A- 
181,S5EU75KN,False,0.9111,"Gillespie, Gary N                  ",Y,Y,A  
182,S66W2MVT,False,0.8036,"Gillespie, Gary N                  ",Y,Y,B  
183,SF8HBUS0,False,0.2029,"Gillespie, Gary N                  ",Y,Y,F  
184,SFG7CY2P,False,0.9098,"Gillespie, Gary N                  ",Y,Y,A  
188,T305I2KC,False,0.6513,"Gillespie, Gary N                  ",Y,Y,C+ 
189,T7HAIDZ1,False,0.7178,"Gillespie, Gary N                  ",Y,Y,C+ 
190,THFZICSB,False,0.9244,"Gillespie, Gary N                  ",Y,Y,A  
191,TICH0F9P,False,0.9214,"Gillespie, Gary N                  ",Y,Y,A  
192,TJ9QJ4TR,False,0.81,"Gillespie, Gary N                  ",Y,Y,B  
193,U6U9L41K,False,0.937,"Gillespie, Gary N                  ",Y,Y,A  
194,UJ69VAGY,False,0.8298,"Gillespie, Gary N                  ",Y,Y,A- 
