,DeID,Transfer Status,Final.Exam,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
0,05TMV7T8,False,90.6666667,"Gillespie, Gary N                  ",Y,Y,A+ 
3,0NTV796A,False,76.0,"Gillespie, Gary N                  ",Y,Y,A  
5,0W62IGWW,False,75.8095238,"Gillespie, Gary N                  ",Y,Y,A- 
6,0XE9LD9K,False,77.90476190000001,"Gillespie, Gary N                  ",Y,Y,B- 
8,1H6IN61T,False,65.5238095,"Gillespie, Gary N                  ",Y,Y,B+ 
9,1JMPU89A,False,66.4761905,"Gillespie, Gary N                  ",Y,Y,C  
10,25JF6B0Z,False,74.85714290000001,"Gillespie, Gary N                  ",Y,Y,A  
11,2CDZON7O,False,89.90476190000001,"Gillespie, Gary N                  ",Y,Y,A  
12,2HUBSS5B,False,84.952381,"Gillespie, Gary N                  ",Y,Y,A  
13,2KZCGJR4,False,88.1904762,"Gillespie, Gary N                  ",Y,Y,B+ 
14,2RY0Q89X,False,91.5238095,"Gillespie, Gary N                  ",Y,Y,A+ 
16,348SI940,False,84.8571429,"Gillespie, Gary N                  ",Y,Y,A  
17,37J2SSVO,False,61.1428571,"Gillespie, Gary N                  ",Y,Y,D  
19,3CGOB2B6,False,72.38095240000001,"Gillespie, Gary N                  ",Y,Y,B+ 
23,41UJMB2I,False,83.2380952,"Gillespie, Gary N                  ",Y,Y,A  
24,45FB3QKP,False,56.190476200000006,"Gillespie, Gary N                  ",Y,Y,C+ 
25,4CPL38QS,False,49.9047619,"Gillespie, Gary N                  ",Y,Y,C+ 
26,4O8K90O1,False,54.6666667,"Gillespie, Gary N                  ",Y,Y,B  
28,52CA6S32,False,80.57142859999999,"Gillespie, Gary N                  ",Y,Y,A  
29,54ARLTY1,False,75.42857140000001,"Gillespie, Gary N                  ",Y,Y,A  
30,54W77V16,False,81.1428571,"Gillespie, Gary N                  ",Y,Y,A  
31,55QIRZHX,False,70.7619048,"Gillespie, Gary N                  ",Y,Y,B  
33,5DYXUX9U,False,90.85714290000001,"Gillespie, Gary N                  ",Y,Y,A+ 
35,5IAUHG1Q,False,77.7142857,"Gillespie, Gary N                  ",Y,Y,B+ 
36,5NKAH4JP,False,89.7142857,"Gillespie, Gary N                  ",Y,Y,A  
37,670GYX4X,False,77.80952380000001,"Gillespie, Gary N                  ",Y,Y,A  
38,68JXC9HT,False,87.8095238,"Gillespie, Gary N                  ",Y,Y,Grade Pending
39,6AK1X60N,False,69.9047619,"Gillespie, Gary N                  ",Y,Y,B  
40,6HMFTTJE,False,70.8571429,"Gillespie, Gary N                  ",Y,Y,C+ 
42,6QW7KUDB,False,68.7619048,"Gillespie, Gary N                  ",Y,Y,B  
43,6U9SMNMO,False,81.33333329999999,"Gillespie, Gary N                  ",Y,Y,B  
44,6UUUQJRQ,False,80.57142859999999,"Gillespie, Gary N                  ",Y,Y,A- 
46,6YDBYADV,False,86.2857143,"Gillespie, Gary N                  ",Y,Y,A  
47,6ZA206YY,False,50.8571429,"Gillespie, Gary N                  ",Y,Y,D  
48,75QMB4RJ,False,49.3333333,"Gillespie, Gary N                  ",Y,Y,B  
49,7CLVI3K6,False,78.85714290000001,"Gillespie, Gary N                  ",Y,Y,A  
50,7HGBZ6A3,False,88.7619048,"Gillespie, Gary N                  ",Y,Y,A+ 
51,7PQZN82D,False,53.5238095,"Gillespie, Gary N                  ",Y,Y,C+ 
53,7YDCD5T3,False,53.14285709999999,"Gillespie, Gary N                  ",Y,Y,C  
54,85AS1XMS,False,88.0,"Gillespie, Gary N                  ",Y,Y,A  
55,88VVF2K1,False,61.9047619,"Gillespie, Gary N                  ",Y,Y,C  
57,8UY4HT9Q,False,63.2380952,"Gillespie, Gary N                  ",Y,Y,D  
58,8WP8W3M8,False,39.047619,"Gillespie, Gary N                  ",Y,Y,D  
59,8YKAGVE1,False,80.7619048,"Gillespie, Gary N                  ",Y,Y,A- 
60,9GTWOHV1,False,56.00000000000001,"Gillespie, Gary N                  ",Y,Y,C+ 
62,9N44GGPT,False,67.047619,"Gillespie, Gary N                  ",Y,Y,B+ 
63,9PQ94E1Q,False,59.428571399999996,"Gillespie, Gary N                  ",Y,Y,D  
65,9R3C8UZW,False,69.7142857,"Gillespie, Gary N                  ",Y,Y,B+ 
66,9UB9QO39,False,83.9047619,"Gillespie, Gary N                  ",Y,Y,A+ 
67,9XNX51V2,False,80.952381,"Gillespie, Gary N                  ",Y,Y,A  
68,A0G846WL,False,76.1904762,"Gillespie, Gary N                  ",Y,Y,A- 
69,A3B7VRPZ,False,91.2380952,"Gillespie, Gary N                  ",Y,Y,A+ 
70,AH0YE617,False,0.0,"Gillespie, Gary N                  ",Y,Y,F  
71,AHSCAH9Y,False,88.952381,"Gillespie, Gary N                  ",Y,Y,A  
72,AIZF8GN3,False,76.3809524,"Gillespie, Gary N                  ",Y,Y,A  
73,AR5Q9FN4,False,81.9047619,"Gillespie, Gary N                  ",Y,Y,A  
74,AWQP8HB0,False,0.0,"Gillespie, Gary N                  ",Y,Y,F  
76,B2SIV2AB,False,87.42857140000001,"Gillespie, Gary N                  ",Y,Y,A  
77,B43PYI7H,False,93.33333329999999,"Gillespie, Gary N                  ",Y,Y,A+ 
78,B68BX3NZ,False,64.3809524,"Gillespie, Gary N                  ",Y,Y,B  
79,BZNBCIF4,False,72.0,"Gillespie, Gary N                  ",Y,Y,P  
81,CIOQ52M4,False,71.42857140000001,"Gillespie, Gary N                  ",Y,Y,C+ 
83,CLHYZQXI,False,89.90476190000001,"Gillespie, Gary N                  ",Y,Y,A+ 
84,CO68WRAY,False,63.4285714,"Gillespie, Gary N                  ",Y,Y,B+ 
85,CULH828F,False,49.5238095,"Gillespie, Gary N                  ",Y,Y,C  
86,CWU0VP20,False,59.619047599999995,"Gillespie, Gary N                  ",Y,Y,C  
88,D4XCU3KB,False,84.5714286,"Gillespie, Gary N                  ",Y,Y,A  
89,D9BLPTY4,False,91.42857140000001,"Gillespie, Gary N                  ",Y,Y,A+ 
90,DAXF6MPS,False,47.8095238,"Gillespie, Gary N                  ",Y,Y,D  
91,DC1SEHQ8,False,77.7142857,"Gillespie, Gary N                  ",Y,Y,B+ 
93,DVDFJF4R,False,79.2380952,"Gillespie, Gary N                  ",Y,Y,A  
95,E2MHSBFY,False,84.5714286,"Gillespie, Gary N                  ",Y,Y,A  
97,EAVHVVPD,False,85.5238095,"Gillespie, Gary N                  ",Y,Y,A+ 
99,EFXSJJ4C,False,91.2380952,"Gillespie, Gary N                  ",Y,Y,A  
100,EQAUYKTO,False,73.5238095,"Gillespie, Gary N                  ",Y,Y,B  
